Meeting,Committee,MotionN,Topic,Species,MotionDesc,Category,Timing,Ecosystem,How,Notes
March2025,SG,13,NewAmendment,AllSnapperGrouper,initiate amendment development,tactical,routine,no,,aggregate rec bag limits to reduce rec dead discard
March2025,SG,14,TimingTasks,AllSnapperGrouper,develop finalize and request info,both,both,maybe,"consider ecosystem information in shiny tool evaluating need for managmenet, MSY proxies, recreational seasons","shiny tool need for mgt? MSY proxies, rec season alignment"
June2025,Council,1,TimingTasks,All,develop finalize and request info,both,both,maybe,consider ecosystem information from recent Dolphin journal articles,delay for hire reporting improvements amendment
June2025,CMP,1,TimingTasks,AllMackerelCobia,develop finalize and request info,both,both,no,,spanish mackerel assessment sooner?
June2025,HAB-S,1,Coral Amendment 11/Shrimp Amendment 12,Coral;Shrimp,approve purpose and need,tactical,occasional,yes,balancing fishery and habitat objectives,
June2025,HAB-S,2,Coral Amendment 11/Shrimp Amendment 12,Coral;Shrimp,approve modifications to alternatives,tactical,occasional,no,,
June2025,HAB-S,3,Coral Amendment 11/Shrimp Amendment 12,Coral;Shrimp,select preferred alternative,tactical,occasional,maybe,"consider social, economic, and ecosystem information",selected smaller area of alteratives
June2025,HAB-S,4,Coral Amendment 11/Shrimp Amendment 12,Coral;Shrimp,approve amendment public hearings,tactical,occasional,no,,
June2025,HAB-S,5,TimingTasks,Coral;Shrimp,develop finalize and request info,both,both,no,,
June2025,SG,1,ReferencePoints,AllSnapperGrouper,create working group,strategic,occasional,maybe,"consider ecosystem influence on steepness, SPR proxies",estimate steepness and compare SPR proxies based on life history
June2025,SG,2,Amendment 56,BlackSeaBass,specify alternatives,tactical,routine,maybe,consider ecosystem influence on SPR proxy and spawning season,"cut ACLs in half, spawning season closure, assess MSY proxies, could be a framework"
June2025,SG,3,Amendment 60,AllSnapperGrouper,approve amendment scoping,tactical,routine,no,,
June2025,SG,4,NewAmendment,AllSnapperGrouper,initiate amendment development,strategic,occasional,yes,designate ecosystem component species,remove or designate EC for a bunch of species currently in FMP
June2025,SG,5,Amendment 44,YellowtailSnapper,resume amendment development,tactical,routine,no,,
June2025,SG,6,NewAmendment,AllSnapperGrouper,initiate amendment development,strategic,occasional,no,,decouple aggregate bag limit from MSE amendment
June2025,SG,7,TimingTasks,AllSnapperGrouper,develop finalize and request info,both,both,maybe,consider ecosystem influence in MSY best practices,"MSE phase 2, innovative SG management"
September2025,Council,1,Process,Dolphin,allow chairs to approve MSE ToRs,strategic,occasional,maybe,consider ecosystem ToR,
September2025,Council,2,NewAmendment,RedSnapper,initiate amendment development,strategic,occasional,no,,investigate states to manage rec red snapper
September2025,HABEBM,1,HEAP,All,approve workplan,strategic,routine,yes,approve EFH and EBM work,
September2025,HAB-S,2,Coral Amendment 11/Shrimp Amendment 12,Coral;Shrimp,approve modifications to alternatives,tactical,occasional,yes,"discussion of upwelling, sedimentation",
September2025,HAB-S,3,Coral Amendment 11/Shrimp Amendment 12,Coral;Shrimp,approve actions and alternatives,tactical,occasional,no,,final approval dec 2025
September2025,HAB-S,4,TimingTasks,All,develop finalize and request info,both,both,yes,EBM: space industry info collection,space industry info collection
September2025,SG,1,NewAmendment,AllSnapperGrouper,initiate amendment development,tactical,routine,no,,how trip limits apply to sale of fish
September2025,SG,2,TimingTasks,AllSnapperGrouper,develop finalize and request info,tactical,routine,no,,letter to SecCommerce concern delayed actions
September2025,SG,3,Amendment 44,YellowtailSnapper,remove to considered but rejected,tactical,routine,no,,
September2025,SG,4,NewFramework,BluelineTilefish,initiate abbreviated framework,tactical,routine,no,,ABC ACL
September2025,SG,5,MSE,AllSnapperGrouper,consider management measures,strategic,occasional,maybe,consider ecosystem change as uncertainty in MSE,"aggregate bag limits, mandatory stop, seasonal managmeent, spatial managment"
September2025,SG,6,MSE,AllSnapperGrouper,define performance metrics,strategic,occasional,maybe,consider species distribution shifts in MSE,"rebuild, short and long term landigns, discard fraction, angler access"
September2025,SG,7,RegAmendment 37,BlackSeaBass,select preferred alternative,tactical,routine,no,,ACT and AMs
September2025,SG,8,RegAmendment 37,BlackSeaBass,select preferred alternative,tactical,routine,maybe,evaluate potential for spawning season change,Spawning season closures
September2025,SG,9,RegAmendment 37,BlackSeaBass,select preferred alternative,tactical,routine,no,,rec bag and size limit
September2025,SG,10,RegAmendment 37,BlackSeaBass,approve amendment public hearings,tactical,routine,no,,
September2025,SG,11,Amendment 61,AllSnapperGrouper,request unmanaged EC landings report,strategic,occasional,yes,unmanaged landings report tracks ecosystem landings,like Mid's
September2025,SG,12,Amendment 61,AllSnapperGrouper,approve amendment scoping,tactical,routine,no,,
September2025,SG,13,TimingTasks,AllSnapperGrouper,develop finalize and request info,both,both,maybe,consider social economic and ecosystem information in allocation decision tool,allocation decision tool
December2025,CS,1,ResearchPriorities,All,adopt ,strategic,occasional,yes,"collect social, economic, biological, and environmental information; cooperative research fleet mentioned",cooperative research fleet mentioned
December2025,HAB-S,1,Coral Amendment 11/Shrimp Amendment 12,Coral;Shrimp,approve purpose and need,tactical,occasional,no,,
December2025,HAB-S,2,TimingTasks,Coral;Shrimp,develop finalize and request info,both,both,yes,update economic and social environment sections,update economic and social environment sections
December2025,SG,1,RegAmendment 37,BlackSeaBass,select preferred alternative,tactical,routine,no,,increase bag limit by 1
December2025,SG,2,RegAmendment 37,BlackSeaBass,remove to considered but rejected,tactical,routine,no,,size limit
December2025,SG,3,RegAmendment 37,BlackSeaBass,approve final amendment,tactical,routine,no,,
December2025,SG,4,AbbrFramework 5,BluelineTilefish,approve final amendment,tactical,routine,no,,ABC and ACL
December2025,SG,,Amendment 61,AllSnapperGrouper,direction to staff,strategic,occasional,yes,ecosystem management objectives acceptable as presented,ecosystem management objectives acceptable as presented
December2025,SG,5,Amendment 44,YellowtailSnapper,approve purpose and need,tactical,routine,no,,
December2025,SG,6,Amendment,GoldenTilefish,add ABC update to an amendment,tactical,routine,no,,
December2025,SG,7,TimingTasks,AllSnapperGrouper,develop finalize and request info,both,both,yes,"MSE, landings report unmanaged EC spp, ","MSE, landings report unmanaged EC spp, "
January2026,Council,1,Coral Amendment 11/Shrimp Amendment 12,Coral;Shrimp,approve final amendment,tactical,occasional,no,,
March2026,Council,1,TimingTasks,All,develop finalize and request info,strategic,occasional,maybe,indicator for nonharvest value in risk/value matrix,"risk/value matrix, shark management changes"
